trade_date,ticker,rolling_vol_30d
2024-07-09,MSFT,0.171954
2024-07-10,MSFT,0.174873
2024-07-11,MSFT,0.191621
2024-07-12,MSFT,0.191593
2024-07-15,MSFT,0.160225
2024-07-16,MSFT,0.1643
2024-07-17,MSFT,0.16962
2024-07-18,MSFT,0.171346
2024-07-19,MSFT,0.165629
2024-07-22,MSFT,0.169281
2024-07-23,MSFT,0.169221
2024-07-24,MSFT,0.198433
2024-07-25,MSFT,0.207572
2024-07-26,MSFT,0.205296
2024-07-29,MSFT,0.205609
2024-07-30,MSFT,0.206566
2024-07-31,MSFT,0.203652
2024-08-01,MSFT,0.203552
2024-08-02,MSFT,0.210234
2024-08-05,MSFT,0.223578
2024-08-06,MSFT,0.227882
2024-08-07,MSFT,0.225584
2024-08-08,MSFT,0.228715
2024-08-09,MSFT,0.230819
2024-08-12,MSFT,0.229582
2024-08-13,MSFT,0.226052
2024-08-14,MSFT,0.226505
2024-08-15,MSFT,0.229825
2024-08-16,MSFT,0.224038
2024-08-19,MSFT,0.226158
2024-08-20,MSFT,0.225761
2024-08-21,MSFT,0.220132
2024-08-22,MSFT,0.216727
2024-08-23,MSFT,0.217362
2024-08-26,MSFT,0.217601
2024-08-27,MSFT,0.216906
2024-08-28,MSFT,0.215172
2024-08-29,MSFT,0.216055
2024-08-30,MSFT,0.217946
2024-09-03,MSFT,0.218715
2024-09-04,MSFT,0.217837
2024-09-05,MSFT,0.194608
2024-09-06,MSFT,0.187823
2024-09-09,MSFT,0.183603
2024-09-10,MSFT,0.193953
2024-09-11,MSFT,0.202371
2024-09-12,MSFT,0.201356
2024-09-13,MSFT,0.202165
2024-09-16,MSFT,0.191613
2024-09-17,MSFT,0.163008
2024-09-18,MSFT,0.165532
2024-09-19,MSFT,0.170514
2024-09-20,MSFT,0.171943
2024-09-23,MSFT,0.172182
2024-09-24,MSFT,0.175726
2024-09-25,MSFT,0.170168
2024-09-26,MSFT,0.169685
2024-09-27,MSFT,0.168556
2024-09-30,MSFT,0.167889
2024-10-01,MSFT,0.179365
2024-10-02,MSFT,0.179426
2024-10-03,MSFT,0.17942
2024-10-04,MSFT,0.169787
2024-10-07,MSFT,0.175354
2024-10-08,MSFT,0.177831
2024-10-09,MSFT,0.178779
2024-10-10,MSFT,0.177612
2024-10-11,MSFT,0.176846
2024-10-14,MSFT,0.175721
2024-10-15,MSFT,0.166951
2024-10-16,MSFT,0.168068
2024-10-17,MSFT,0.167989
2024-10-18,MSFT,0.160353
2024-10-21,MSFT,0.158333
2024-10-22,MSFT,0.158275
2024-10-23,MSFT,0.148036
2024-10-24,MSFT,0.145539
2024-10-25,MSFT,0.145368
2024-10-28,MSFT,0.14559
2024-10-29,MSFT,0.147931
2024-10-30,MSFT,0.145141
2024-10-31,MSFT,0.217993
2024-11-01,MSFT,0.220168
2024-11-04,MSFT,0.220225
2024-11-05,MSFT,0.220398
2024-11-06,MSFT,0.228497
2024-11-07,MSFT,0.231593
2024-11-08,MSFT,0.231384
2024-11-11,MSFT,0.23261
2024-11-12,MSFT,0.226478
2024-11-13,MSFT,0.225376
2024-11-14,MSFT,0.225466
2024-11-15,MSFT,0.239905
2024-11-18,MSFT,0.235424
2024-11-19,MSFT,0.233129
2024-11-20,MSFT,0.232951
2024-11-21,MSFT,0.233014
2024-11-22,MSFT,0.23476
2024-11-25,MSFT,0.234285
2024-11-26,MSFT,0.242344
2024-11-27,MSFT,0.244179
2024-11-29,MSFT,0.244173
2024-12-02,MSFT,0.248874
2024-12-03,MSFT,0.24888
2024-12-04,MSFT,0.245261
2024-12-05,MSFT,0.246077
2024-12-06,MSFT,0.246053
2024-12-09,MSFT,0.245604
2024-12-10,MSFT,0.246122
2024-12-11,MSFT,0.246199
2024-12-12,MSFT,0.2462
2024-12-13,MSFT,0.1668
2024-12-16,MSFT,0.166724
2024-12-17,MSFT,0.165247
2024-12-18,MSFT,0.202286
2024-12-19,MSFT,0.194489
2024-12-20,MSFT,0.191836
2024-12-23,MSFT,0.19086
2024-12-24,MSFT,0.188961
2024-12-26,MSFT,0.186935
2024-12-27,MSFT,0.193879
2024-12-30,MSFT,0.197502
2024-12-31,MSFT,0.181383
2025-01-02,MSFT,0.182617
2025-01-03,MSFT,0.184902
2025-01-06,MSFT,0.186156
2025-01-07,MSFT,0.189774
2025-01-08,MSFT,0.188309
2025-01-10,MSFT,0.192051
2025-01-13,MSFT,0.181175
2025-01-14,MSFT,0.178542
2025-01-15,MSFT,0.193432
2025-01-16,MSFT,0.186766
2025-01-17,MSFT,0.18933
2025-01-21,MSFT,0.184437
2025-01-22,MSFT,0.217315
2025-01-23,MSFT,0.217265
2025-01-24,MSFT,0.217416
2025-01-27,MSFT,0.22523
2025-01-28,MSFT,0.237796
2025-01-29,MSFT,0.239758
2025-01-30,MSFT,0.296732
2025-01-31,MSFT,0.29474
2025-02-03,MSFT,0.294229
2025-02-04,MSFT,0.276668
2025-02-05,MSFT,0.276896
2025-02-06,MSFT,0.277791
2025-02-07,MSFT,0.280279
2025-02-10,MSFT,0.279314
2025-02-11,MSFT,0.279304
2025-02-12,MSFT,0.275895
2025-02-13,MSFT,0.274079
2025-02-14,MSFT,0.27362
2025-02-18,MSFT,0.273241
2025-02-19,MSFT,0.273674
2025-02-20,MSFT,0.272264
2025-02-21,MSFT,0.27515
2025-02-24,MSFT,0.275806
2025-02-25,MSFT,0.276534
2025-02-26,MSFT,0.276948
2025-02-27,MSFT,0.281008
2025-02-28,MSFT,0.272189
2025-03-03,MSFT,0.277644
2025-03-04,MSFT,0.275078
2025-03-05,MSFT,0.29262
2025-03-06,MSFT,0.264069
2025-03-07,MSFT,0.264095
2025-03-10,MSFT,0.277069
2025-03-11,MSFT,0.273187
2025-03-12,MSFT,0.257531
2025-03-13,MSFT,0.257708
2025-03-14,MSFT,0.212326
2025-03-17,MSFT,0.212344
2025-03-18,MSFT,0.213609
2025-03-19,MSFT,0.216425
2025-03-20,MSFT,0.21609
2025-03-21,MSFT,0.21829
2025-03-24,MSFT,0.215736
2025-03-25,MSFT,0.215539
2025-03-26,MSFT,0.218185
2025-03-27,MSFT,0.218004
2025-03-28,MSFT,0.232273
2025-03-31,MSFT,0.232901
2025-04-01,MSFT,0.239857
2025-04-02,MSFT,0.236044
2025-04-03,MSFT,0.242278
2025-04-04,MSFT,0.255399
2025-04-07,MSFT,0.254777
2025-04-08,MSFT,0.253154
2025-04-09,MSFT,0.39189
2025-04-10,MSFT,0.394212
2025-04-11,MSFT,0.396606
2025-04-14,MSFT,0.39179
2025-04-15,MSFT,0.392114
2025-04-16,MSFT,0.393932
2025-04-17,MSFT,0.393933
2025-04-21,MSFT,0.398186
2025-04-22,MSFT,0.393307
