trade_date,ticker,close_price,peak_price,drawdown
2026-03-31,MSFT,370.17,539.8253,-0.314278
2026-04-01,MSFT,369.37,539.8253,-0.31576
2026-04-02,MSFT,373.46,539.8253,-0.308184
2026-04-06,MSFT,372.88,539.8253,-0.309258
2026-04-07,MSFT,372.29,539.8253,-0.310351
2026-04-08,MSFT,374.33,539.8253,-0.306572
2026-04-09,MSFT,373.07,539.8253,-0.308906
2026-04-10,MSFT,370.87,539.8253,-0.312981
2022-01-03,NVDA,30.0611,30.0611,0.0
2022-01-04,NVDA,29.2318,30.0611,-0.027587
2022-01-05,NVDA,27.5491,30.0611,-0.083563
2022-01-06,NVDA,28.122,30.0611,-0.064505
2022-01-07,NVDA,27.1929,30.0611,-0.095412
2022-01-10,NVDA,27.3455,30.0611,-0.090336
2022-01-11,NVDA,27.7617,30.0611,-0.076491
2022-01-12,NVDA,27.9434,30.0611,-0.070447
2022-01-13,NVDA,26.5222,30.0611,-0.117724
2022-01-14,NVDA,26.8885,30.0611,-0.105538
2022-01-18,NVDA,25.8515,30.0611,-0.140035
2022-01-19,NVDA,25.0172,30.0611,-0.167788
2022-01-20,NVDA,24.102,30.0611,-0.198233
2022-01-21,NVDA,23.3275,30.0611,-0.223997
2022-01-24,NVDA,23.3256,30.0611,-0.22406
2022-01-25,NVDA,22.2796,30.0611,-0.258856
2022-01-26,NVDA,22.7267,30.0611,-0.243983
2022-01-27,NVDA,21.9004,30.0611,-0.27147
2022-01-28,NVDA,22.7946,30.0611,-0.241724
2022-01-31,NVDA,24.4373,30.0611,-0.187079
2022-02-01,NVDA,24.589,30.0611,-0.182033
2022-02-02,NVDA,25.1918,30.0611,-0.16198
2022-02-03,NVDA,23.9004,30.0611,-0.204939
2022-02-04,NVDA,24.2707,30.0611,-0.192621
2022-02-07,NVDA,24.6789,30.0611,-0.179042
2022-02-08,NVDA,25.0581,30.0611,-0.166428
2022-02-09,NVDA,26.6519,30.0611,-0.113409
2022-02-10,NVDA,25.7727,30.0611,-0.142656
2022-02-11,NVDA,23.9014,30.0611,-0.204906
2022-02-14,NVDA,24.2188,30.0611,-0.194348
2022-02-15,NVDA,26.4423,30.0611,-0.120381
2022-02-16,NVDA,26.4583,30.0611,-0.119849
2022-02-17,NVDA,24.4583,30.0611,-0.18638
2022-02-18,NVDA,23.595,30.0611,-0.215099
2022-02-22,NVDA,23.3435,30.0611,-0.223465
2022-02-23,NVDA,22.3425,30.0611,-0.256764
2022-02-24,NVDA,23.7008,30.0611,-0.211579
2022-02-25,NVDA,24.109,30.0611,-0.198
2022-02-28,NVDA,24.3365,30.0611,-0.190432
2022-03-01,NVDA,23.4303,30.0611,-0.220577
2022-03-02,NVDA,24.176,30.0611,-0.195771
2022-03-03,NVDA,23.6709,30.0611,-0.212574
2022-03-04,NVDA,22.8943,30.0611,-0.238408
2022-03-07,NVDA,21.3132,30.0611,-0.291004
2022-03-08,NVDA,21.4749,30.0611,-0.285625
2022-03-09,NVDA,22.9722,30.0611,-0.235816
2022-03-10,NVDA,22.6168,30.0611,-0.247639
2022-03-11,NVDA,22.0598,30.0611,-0.266168
2022-03-14,NVDA,21.2912,30.0611,-0.291736
2022-03-15,NVDA,22.9312,30.0611,-0.23718
2022-03-16,NVDA,24.4515,30.0611,-0.186607
2022-03-17,NVDA,24.721,30.0611,-0.177642
2022-03-18,NVDA,26.4049,30.0611,-0.121626
2022-03-21,NVDA,26.6854,30.0611,-0.112295
2022-03-22,NVDA,26.4758,30.0611,-0.119267
2022-03-23,NVDA,25.5874,30.0611,-0.14882
2022-03-24,NVDA,28.0988,30.0611,-0.065277
2022-03-25,NVDA,27.6417,30.0611,-0.080483
2022-03-28,NVDA,28.1677,30.0611,-0.062985
2022-03-29,NVDA,28.6039,30.0611,-0.048475
2022-03-30,NVDA,27.6397,30.0611,-0.080549
2022-03-31,NVDA,27.2364,30.0611,-0.093965
2022-04-01,NVDA,26.6635,30.0611,-0.113023
2022-04-04,NVDA,27.3103,30.0611,-0.091507
2022-04-05,NVDA,25.8839,30.0611,-0.138957
2022-04-06,NVDA,24.3626,30.0611,-0.189564
2022-04-07,NVDA,24.164,30.0611,-0.19617
2022-04-08,NVDA,23.077,30.0611,-0.23233
2022-04-11,NVDA,21.8772,30.0611,-0.272242
2022-04-12,NVDA,21.4649,30.0611,-0.285958
2022-04-13,NVDA,22.1627,30.0611,-0.262745
2022-04-14,NVDA,21.2194,30.0611,-0.294124
2022-04-18,NVDA,21.7434,30.0611,-0.276693
2022-04-19,NVDA,22.1577,30.0611,-0.262911
2022-04-20,NVDA,21.443,30.0611,-0.286686
2022-04-21,NVDA,20.1463,30.0611,-0.329822
2022-04-22,NVDA,19.4795,30.0611,-0.352003
2022-04-25,NVDA,19.8658,30.0611,-0.339153
2022-04-26,NVDA,18.7539,30.0611,-0.376141
2022-04-27,NVDA,18.3815,30.0611,-0.388529
2022-04-28,NVDA,19.746,30.0611,-0.343138
2022-04-29,NVDA,18.5133,30.0611,-0.384144
2022-05-02,NVDA,19.4975,30.0611,-0.351404
2022-05-03,NVDA,19.5664,30.0611,-0.349112
2022-05-04,NVDA,20.297,30.0611,-0.324808
2022-05-05,NVDA,18.8098,30.0611,-0.374281
2022-05-06,NVDA,18.6411,30.0611,-0.379893
2022-05-09,NVDA,16.9192,30.0611,-0.437173
2022-05-10,NVDA,17.563,30.0611,-0.415757
2022-05-11,NVDA,16.5998,30.0611,-0.447798
2022-05-12,NVDA,16.1456,30.0611,-0.462907
2022-05-13,NVDA,17.6738,30.0611,-0.412071
2022-05-16,NVDA,17.2326,30.0611,-0.426748
2022-05-17,NVDA,18.144,30.0611,-0.396429
2022-05-18,NVDA,16.9072,30.0611,-0.437572
2022-05-19,NVDA,17.0929,30.0611,-0.431395
2022-05-20,NVDA,16.6637,30.0611,-0.445672
2022-05-23,NVDA,16.8673,30.0611,-0.438899
2022-05-24,NVDA,16.1246,30.0611,-0.463606
2022-05-25,NVDA,16.9442,30.0611,-0.436341
2022-05-26,NVDA,17.8186,30.0611,-0.407254
2022-05-27,NVDA,18.7768,30.0611,-0.375379
2022-05-31,NVDA,18.6381,30.0611,-0.379993
2022-06-01,NVDA,18.2867,30.0611,-0.391682
2022-06-02,NVDA,19.5564,30.0611,-0.349445
2022-06-03,NVDA,18.686,30.0611,-0.378399
2022-06-06,NVDA,18.7519,30.0611,-0.376207
2022-06-07,NVDA,18.8916,30.0611,-0.37156
2022-06-08,NVDA,18.618,30.0611,-0.380661
2022-06-09,NVDA,18.019,30.0611,-0.400587
2022-06-10,NVDA,16.9467,30.0611,-0.436258
2022-06-13,NVDA,15.6219,30.0611,-0.480328
2022-06-14,NVDA,15.8106,30.0611,-0.474051
2022-06-15,NVDA,16.5005,30.0611,-0.451101
2022-06-16,NVDA,15.5759,30.0611,-0.481859
2022-06-17,NVDA,15.8545,30.0611,-0.472591
2022-06-21,NVDA,16.5394,30.0611,-0.449807
2022-06-22,NVDA,16.3337,30.0611,-0.45665
2022-06-23,NVDA,16.1989,30.0611,-0.461134
2022-06-24,NVDA,17.0985,30.0611,-0.431208
2022-06-27,NVDA,16.8419,30.0611,-0.439744
2022-06-28,NVDA,15.9563,30.0611,-0.469204
2022-06-29,NVDA,15.517,30.0611,-0.483818
2022-06-30,NVDA,15.1347,30.0611,-0.496535
2022-07-01,NVDA,14.4997,30.0611,-0.517659
2022-07-05,NVDA,14.94,30.0611,-0.503012
2022-07-06,NVDA,15.1057,30.0611,-0.4975
2022-07-07,NVDA,15.8325,30.0611,-0.473323
2022-07-08,NVDA,15.8126,30.0611,-0.473985
2022-07-11,NVDA,15.1277,30.0611,-0.496768
2022-07-12,NVDA,15.0578,30.0611,-0.499094
2022-07-13,NVDA,15.1396,30.0611,-0.496372
2022-07-14,NVDA,15.3473,30.0611,-0.489463
2022-07-15,NVDA,15.7367,30.0611,-0.47651
2022-07-18,NVDA,16.0751,30.0611,-0.465252
2022-07-19,NVDA,16.9647,30.0611,-0.435659
2022-07-20,NVDA,17.7784,30.0611,-0.408591
2022-07-21,NVDA,18.021,30.0611,-0.400521
2022-07-22,NVDA,17.2912,30.0611,-0.424798
2022-07-25,NVDA,16.9967,30.0611,-0.434595
2022-07-26,NVDA,16.5064,30.0611,-0.450905
2022-07-27,NVDA,17.7614,30.0611,-0.409157
2022-07-28,NVDA,17.9551,30.0611,-0.402713
2022-07-29,NVDA,18.1338,30.0611,-0.396769
2022-08-01,NVDA,18.4114,30.0611,-0.387534
2022-08-02,NVDA,18.4962,30.0611,-0.384713
2022-08-03,NVDA,18.8627,30.0611,-0.372521
2022-08-04,NVDA,19.1841,30.0611,-0.36183
2022-08-05,NVDA,18.9585,30.0611,-0.369334
2022-08-08,NVDA,17.7644,30.0611,-0.409057
2022-08-09,NVDA,17.0586,30.0611,-0.432536
2022-08-10,NVDA,18.0679,30.0611,-0.398961
2022-08-11,NVDA,17.9132,30.0611,-0.404107
2022-08-12,NVDA,18.6789,30.0611,-0.378636
2022-08-15,NVDA,19.0014,30.0611,-0.367907
2022-08-16,NVDA,18.8487,30.0611,-0.372987
2022-08-17,NVDA,18.3055,30.0611,-0.391057
2022-08-18,NVDA,18.7428,30.0611,-0.37651
2022-08-19,NVDA,17.8203,30.0611,-0.407197
2022-08-22,NVDA,17.0066,30.0611,-0.434266
2022-08-23,NVDA,17.1534,30.0611,-0.429382
2022-08-24,NVDA,17.1943,30.0611,-0.428022
2022-08-25,NVDA,17.8842,30.0611,-0.405072
2022-08-26,NVDA,16.2339,30.0611,-0.45997
2022-08-29,NVDA,15.7756,30.0611,-0.475215
2022-08-30,NVDA,15.4432,30.0611,-0.486273
2022-08-31,NVDA,15.0698,30.0611,-0.498694
2022-09-01,NVDA,13.9146,30.0611,-0.537123
2022-09-02,NVDA,13.6251,30.0611,-0.546753
2022-09-06,NVDA,13.4434,30.0611,-0.552797
2022-09-07,NVDA,13.696,30.0611,-0.544395
2022-09-08,NVDA,13.9717,30.0611,-0.535223
2022-09-09,NVDA,14.3682,30.0611,-0.522033
2022-09-12,NVDA,14.486,30.0611,-0.518115
2022-09-13,NVDA,13.1138,30.0611,-0.563762
2022-09-14,NVDA,13.1108,30.0611,-0.563862
2022-09-15,NVDA,12.9121,30.0611,-0.570471
2022-09-16,NVDA,13.1807,30.0611,-0.561536
2022-09-19,NVDA,13.3645,30.0611,-0.555422
2022-09-20,NVDA,13.1587,30.0611,-0.562268
2022-09-21,NVDA,13.2436,30.0611,-0.559444
2022-09-22,NVDA,12.5445,30.0611,-0.5827
2022-09-23,NVDA,12.4996,30.0611,-0.584194
2022-09-26,NVDA,12.212,30.0611,-0.593761
2022-09-27,NVDA,12.3967,30.0611,-0.587617
2022-09-28,NVDA,12.7193,30.0611,-0.576885
2022-09-29,NVDA,12.204,30.0611,-0.594027
2022-09-30,NVDA,12.1231,30.0611,-0.596718
2022-10-03,NVDA,12.4956,30.0611,-0.584327
2022-10-04,NVDA,13.1498,30.0611,-0.562564
2022-10-05,NVDA,13.1917,30.0611,-0.56117
2022-10-06,NVDA,13.1128,30.0611,-0.563795
2022-10-07,NVDA,12.0602,30.0611,-0.59881
2022-10-10,NVDA,11.6547,30.0611,-0.6123
2022-10-11,NVDA,11.5708,30.0611,-0.615091
2022-10-12,NVDA,11.4849,30.0611,-0.617948
2022-10-13,NVDA,11.9443,30.0611,-0.602666
2022-10-14,NVDA,11.2123,30.0611,-0.627016
2022-10-17,NVDA,11.8724,30.0611,-0.605058
2022-10-18,NVDA,11.9513,30.0611,-0.602433
2022-10-19,NVDA,12.0352,30.0611,-0.599642
2022-10-20,NVDA,12.178,30.0611,-0.594892
2022-10-21,NVDA,12.4497,30.0611,-0.585853
2022-10-24,NVDA,12.5825,30.0611,-0.581436
2022-10-25,NVDA,13.2436,30.0611,-0.559444
2022-10-26,NVDA,12.8791,30.0611,-0.571569
2022-10-27,NVDA,13.1587,30.0611,-0.562268
2022-10-28,NVDA,13.8159,30.0611,-0.540406
2022-10-31,NVDA,13.4793,30.0611,-0.551603
2022-11-01,NVDA,13.5253,30.0611,-0.550073
2022-11-02,NVDA,13.2017,30.0611,-0.560838
2022-11-03,NVDA,13.4034,30.0611,-0.554128
2022-11-04,NVDA,14.1375,30.0611,-0.529708
2022-11-07,NVDA,14.2823,30.0611,-0.524891
2022-11-08,NVDA,14.5829,30.0611,-0.514891
2022-11-09,NVDA,13.758,30.0611,-0.542332
2022-11-10,NVDA,15.7294,30.0611,-0.476752
2022-11-11,NVDA,16.3056,30.0611,-0.457585
2022-11-14,NVDA,16.2737,30.0611,-0.458646
2022-11-15,NVDA,16.6442,30.0611,-0.446321
2022-11-16,NVDA,15.8892,30.0611,-0.471437
2022-11-17,NVDA,15.6565,30.0611,-0.479177
2022-11-18,NVDA,15.3888,30.0611,-0.488083
2022-11-21,NVDA,15.2969,30.0611,-0.49114
2022-11-22,NVDA,16.017,30.0611,-0.467185
2022-11-23,NVDA,16.4974,30.0611,-0.451204
2022-11-25,NVDA,16.2487,30.0611,-0.459478
2022-11-28,NVDA,15.8063,30.0611,-0.474194
2022-11-29,NVDA,15.6185,30.0611,-0.480442
2022-11-30,NVDA,16.9052,30.0611,-0.437639
2022-12-01,NVDA,17.1169,30.0611,-0.430596
2022-12-02,NVDA,16.8582,30.0611,-0.439202
2022-12-05,NVDA,16.5925,30.0611,-0.448041
2022-12-06,NVDA,15.9701,30.0611,-0.468745
2022-12-07,NVDA,16.103,30.0611,-0.464324
2022-12-08,NVDA,17.1509,30.0611,-0.429465
2022-12-09,NVDA,16.9831,30.0611,-0.435047
2022-12-12,NVDA,17.5165,30.0611,-0.417303
2022-12-13,NVDA,18.0529,30.0611,-0.39946
2022-12-14,NVDA,17.6554,30.0611,-0.412683
2022-12-15,NVDA,16.9341,30.0611,-0.436677
2022-12-16,NVDA,16.5535,30.0611,-0.449338
2022-12-19,NVDA,16.2369,30.0611,-0.45987
2022-12-20,NVDA,16.068,30.0611,-0.465489
2022-12-21,NVDA,16.4836,30.0611,-0.451663
2022-12-22,NVDA,15.3228,30.0611,-0.490278
2022-12-23,NVDA,15.19,30.0611,-0.494696
2022-12-27,NVDA,14.1061,30.0611,-0.530752
2022-12-28,NVDA,14.0212,30.0611,-0.533577
2022-12-29,NVDA,14.5876,30.0611,-0.514735
2022-12-30,NVDA,14.5986,30.0611,-0.514369
2023-01-03,NVDA,14.2999,30.0611,-0.524305
2023-01-04,NVDA,14.7335,30.0611,-0.509882
2023-01-05,NVDA,14.25,30.0611,-0.525965
2023-01-06,NVDA,14.8433,30.0611,-0.506229
2023-01-09,NVDA,15.6115,30.0611,-0.480674
2023-01-10,NVDA,15.8922,30.0611,-0.471337
2023-01-11,NVDA,15.9841,30.0611,-0.46828
2023-01-12,NVDA,16.4936,30.0611,-0.451331
2023-01-13,NVDA,16.8812,30.0611,-0.438437
2023-01-17,NVDA,17.6833,30.0611,-0.411755
2023-01-18,NVDA,17.3587,30.0611,-0.422553
2023-01-19,NVDA,16.7473,30.0611,-0.442891
2023-01-20,NVDA,17.8202,30.0611,-0.407201
2023-01-23,NVDA,19.1728,30.0611,-0.362206
2023-01-24,NVDA,19.2447,30.0611,-0.359814
2023-01-25,NVDA,19.3026,30.0611,-0.357888
2023-01-26,NVDA,19.7811,30.0611,-0.34197
2023-01-27,NVDA,20.3435,30.0611,-0.323262
2023-01-30,NVDA,19.1418,30.0611,-0.363237
2023-01-31,NVDA,19.5164,30.0611,-0.350776
2023-02-01,NVDA,20.9209,30.0611,-0.304054
2023-02-02,NVDA,21.6861,30.0611,-0.278599
2023-02-03,NVDA,21.0778,30.0611,-0.298835
2023-02-06,NVDA,21.0668,30.0611,-0.299201
2023-02-07,NVDA,22.1496,30.0611,-0.263181
2023-02-08,NVDA,22.1816,30.0611,-0.262116
2023-02-09,NVDA,22.3135,30.0611,-0.257728
2023-02-10,NVDA,21.2426,30.0611,-0.293353
2023-02-13,NVDA,21.765,30.0611,-0.275975
2023-02-14,NVDA,22.9468,30.0611,-0.236661
2023-02-15,NVDA,22.74,30.0611,-0.243541
2023-02-16,NVDA,21.9788,30.0611,-0.268862
2023-02-17,NVDA,21.3654,30.0611,-0.289268
2023-02-21,NVDA,20.6332,30.0611,-0.313625
2023-02-22,NVDA,20.7321,30.0611,-0.310335
2023-02-23,NVDA,23.6391,30.0611,-0.213632
2023-02-24,NVDA,23.2615,30.0611,-0.226193
2023-02-27,NVDA,23.4762,30.0611,-0.219051
2023-02-28,NVDA,23.1915,30.0611,-0.228521
2023-03-01,NVDA,22.6741,30.0611,-0.245733
2023-03-02,NVDA,23.2894,30.0611,-0.225265
2023-03-03,NVDA,23.8648,30.0611,-0.206124
2023-03-06,NVDA,23.5292,30.0611,-0.217287
2023-03-07,NVDA,23.2674,30.0611,-0.225996
2023-03-08,NVDA,24.1596,30.0611,-0.196317
2023-03-09,NVDA,23.4153,30.0611,-0.221076
2023-03-10,NVDA,22.9447,30.0611,-0.236731
2023-03-13,NVDA,22.9457,30.0611,-0.236698
2023-03-14,NVDA,24.0417,30.0611,-0.200239
2023-03-15,NVDA,24.2066,30.0611,-0.194753
2023-03-16,NVDA,25.5184,30.0611,-0.151116
2023-03-17,NVDA,25.7022,30.0611,-0.145001
2023-03-20,NVDA,25.8771,30.0611,-0.139183
2023-03-21,NVDA,26.1758,30.0611,-0.129247
2023-03-22,NVDA,26.4446,30.0611,-0.120305
2023-03-23,NVDA,27.167,30.0611,-0.096274
2023-03-24,NVDA,26.7553,30.0611,-0.109969
2023-03-27,NVDA,26.5075,30.0611,-0.118213
2023-03-28,NVDA,26.3866,30.0611,-0.122234
2023-03-29,NVDA,26.9601,30.0611,-0.103157
2023-03-30,NVDA,27.3588,30.0611,-0.089894
2023-03-31,NVDA,27.7524,30.0611,-0.0768
2023-04-03,NVDA,27.9403,30.0611,-0.07055
2023-04-04,NVDA,27.4287,30.0611,-0.087568
2023-04-05,NVDA,26.8572,30.0611,-0.10658
2023-04-06,NVDA,27.0131,30.0611,-0.101393
2023-04-10,NVDA,27.5546,30.0611,-0.08338
2023-04-11,NVDA,27.145,30.0611,-0.097006
2023-04-12,NVDA,26.4716,30.0611,-0.119407
2023-04-13,NVDA,26.4396,30.0611,-0.120471
2023-04-14,NVDA,26.7343,30.0611,-0.110668
2023-04-17,NVDA,26.9781,30.0611,-0.102558
2023-04-18,NVDA,27.6425,30.0611,-0.080456
2023-04-19,NVDA,27.9063,30.0611,-0.071681
2023-04-20,NVDA,27.08,30.0611,-0.099168
2023-04-21,NVDA,27.095,30.0611,-0.098669
2023-04-24,NVDA,27.0181,30.0611,-0.101227
2023-04-25,NVDA,26.2178,30.0611,-0.12785
2023-04-26,NVDA,26.9322,30.0611,-0.104085
2023-04-27,NVDA,27.2019,30.0611,-0.095113
2023-04-28,NVDA,27.7245,30.0611,-0.077728
2023-05-01,NVDA,28.8844,30.0611,-0.039144
2023-05-02,NVDA,28.1851,30.0611,-0.062406
2023-05-03,NVDA,27.7774,30.0611,-0.075969
2023-05-04,NVDA,27.5376,30.0611,-0.083946
2023-05-05,NVDA,28.6546,30.0611,-0.046788
2023-05-08,NVDA,29.1252,30.0611,-0.031133
2023-05-09,NVDA,28.5457,30.0611,-0.050411
2023-05-10,NVDA,28.8595,30.0611,-0.039972
2023-05-11,NVDA,28.5527,30.0611,-0.050178
2023-05-12,NVDA,28.3149,30.0611,-0.058088
2023-05-15,NVDA,28.9274,30.0611,-0.037713
2023-05-16,NVDA,29.1872,30.0611,-0.029071
2023-05-17,NVDA,30.1513,30.1513,0.0
2023-05-18,NVDA,31.65,31.65,0.0
2023-05-19,NVDA,31.2363,31.65,-0.013071
2023-05-22,NVDA,31.1484,31.65,-0.015848
2023-05-23,NVDA,30.6609,31.65,-0.031251
2023-05-24,NVDA,30.511,31.65,-0.035987
2023-05-25,NVDA,37.9464,37.9464,0.0
2023-05-26,NVDA,38.9116,38.9116,0.0
2023-05-30,NVDA,40.0755,40.0755,0.0
2023-05-31,NVDA,37.8005,40.0755,-0.056768
2023-06-01,NVDA,39.7348,40.0755,-0.008501
