Date,Ticker,Close_Price
2023-01-12,GOOGL,90.383
2023-01-13,GOOGL,91.3649
2023-01-17,GOOGL,90.5417
2023-01-18,GOOGL,90.3731
2023-01-19,GOOGL,92.2873
2023-01-20,GOOGL,97.2165
2023-01-23,GOOGL,98.972
2023-01-24,GOOGL,96.8991
2023-01-25,GOOGL,94.4395
2023-01-26,GOOGL,96.7206
2023-01-27,GOOGL,98.5554
2023-01-30,GOOGL,96.1454
2023-01-31,GOOGL,98.0298
2023-02-01,GOOGL,99.6068
2023-02-02,GOOGL,106.8568
2023-02-03,GOOGL,103.9211
2023-02-06,GOOGL,102.0565
2023-02-07,GOOGL,106.7576
2023-02-08,GOOGL,98.5554
2023-02-09,GOOGL,94.2312
2023-02-10,GOOGL,93.7948
2023-02-13,GOOGL,93.8345
2023-02-14,GOOGL,93.9039
2023-02-15,GOOGL,96.1454
2023-02-16,GOOGL,94.7271
2023-02-17,GOOGL,93.5766
2023-02-21,GOOGL,91.0376
2023-02-22,GOOGL,90.8987
2023-02-23,GOOGL,90.145
2023-02-24,GOOGL,88.3994
2023-02-27,GOOGL,89.1333
2023-02-28,GOOGL,89.3218
2023-03-01,GOOGL,89.6193
2023-03-02,GOOGL,91.2458
2023-03-03,GOOGL,92.8823
2023-03-06,GOOGL,94.3502
2023-03-07,GOOGL,93.0906
2023-03-08,GOOGL,93.4774
2023-03-09,GOOGL,91.5632
2023-03-10,GOOGL,89.8871
2023-03-13,GOOGL,90.3632
2023-03-14,GOOGL,93.1997
2023-03-15,GOOGL,95.3222
2023-03-16,GOOGL,99.4977
2023-03-17,GOOGL,100.787
2023-03-20,GOOGL,100.3903
2023-03-21,GOOGL,104.0599
2023-03-22,GOOGL,102.5227
2023-03-23,GOOGL,104.7344
2023-03-24,GOOGL,104.5757
2023-03-27,GOOGL,101.6201
2023-03-28,GOOGL,100.2018
2023-03-29,GOOGL,100.5589
2023-03-30,GOOGL,100.063
2023-03-31,GOOGL,102.8797
2023-04-03,GOOGL,103.5045
2023-04-04,GOOGL,103.8616
2023-04-05,GOOGL,103.6136
2023-04-06,GOOGL,107.5313
2023-04-10,GOOGL,105.5675
2023-04-11,GOOGL,104.4864
2023-04-12,GOOGL,103.7822
2023-04-13,GOOGL,106.5494
2023-04-14,GOOGL,107.9776
2023-04-17,GOOGL,105.1013
2023-04-18,GOOGL,103.6434
2023-04-19,GOOGL,103.326
2023-04-20,GOOGL,104.4269
2023-04-21,GOOGL,104.5459
2023-04-24,GOOGL,105.1013
2023-04-25,GOOGL,102.9987
2023-04-26,GOOGL,102.8599
2023-04-27,GOOGL,106.7081
2023-04-28,GOOGL,106.4601
2023-05-01,GOOGL,106.3213
2023-05-02,GOOGL,104.4567
2023-05-03,GOOGL,104.5459
2023-05-04,GOOGL,103.8318
2023-05-05,GOOGL,104.7046
2023-05-08,GOOGL,106.8866
2023-05-09,GOOGL,106.47
2023-05-10,GOOGL,110.834
2023-05-11,GOOGL,115.6144
2023-05-12,GOOGL,116.5467
2023-05-15,GOOGL,115.5549
2023-05-16,GOOGL,118.5303
2023-05-17,GOOGL,119.8494
2023-05-18,GOOGL,121.8231
2023-05-19,GOOGL,121.7537
2023-05-22,GOOGL,124.0249
2023-05-23,GOOGL,121.5553
2023-05-24,GOOGL,119.909
2023-05-25,GOOGL,122.4678
2023-05-26,GOOGL,123.5886
2023-05-30,GOOGL,122.6563
2023-05-31,GOOGL,121.8628
2023-06-01,GOOGL,122.7058
2023-06-02,GOOGL,123.648
2023-06-05,GOOGL,124.9771
